model,metric,trainlen,source \ target,Perth,HK,PALO,DUNDEE,BOULDER,Auchterarder,Kinross,Pitlochry,Crieff,Aberfeldy,Dunkeld,Blairgowrie
GRU,mae,4,Auchterarder,0.421296296,0.470833333,0.615079365,0.39448173,0.182748538,0.194444444,0.427951389,0.150462963,0.059027778,0.038194444,0.194444444,0.194444444
GRU,mae,4,Kinross,0.422453704,0.470833333,0.621031746,0.396221725,0.182748538,0.215277778,0.457465278,0.150462963,0.059027778,0.038194444,0.194444444,0.194444444
GRU,mae,4,Pitlochry,0.421296296,0.470833333,0.625992063,0.39448173,0.182748538,0.215277778,0.448784722,0.185185185,0.055555556,0.038194444,0.194444444,0.194444444
GRU,mae,4,Crieff,0.421296296,0.470833333,0.625992063,0.395724584,0.182748538,0.215277778,0.448784722,0.150462963,0.059027778,0.038194444,0.194444444,0.194444444
GRU,mae,4,Aberfeldy,0.421296296,0.470833333,0.624007937,0.396470296,0.182748538,0.215277778,0.447916667,0.150462963,0.055555556,0.038194444,0.194444444,0.194444444
GRU,mae,4,Dunkeld,0.421296296,0.470833333,0.618055556,0.39448173,0.182748538,0.215277778,0.448784722,0.150462963,0.055555556,0.038194444,0.194444444,0.194444444
GRU,mae,4,Blairgowrie,0.421296296,0.470833333,0.611111111,0.395476013,0.182748538,0.215277778,0.448784722,0.150462963,0.055555556,0.038194444,0.194444444,0.194444444
GRU,mae,4,wo_trans,0.387731481,0.461805556,0.580357143,0.396221725,0.182748538,0.201388889,0.432291667,0.150462963,0.038194444,0.038194444,0.236111111,0.194444444
GRU,mape,4,Perth,0.210678897,0.200686504,0.671917334,0.210289491,0.692803763,0.999999,0.899158765,0.311004474,0.0999999,0.070967671,0.411764294,0.291666375
GRU,mape,4,HK,0.208734457,0.20802107,0.583469924,0.210392584,0.692803763,0.903224903,0.905461279,0.311004474,0.0999999,0.070967671,0.411764294,0.291666375
GRU,mape,4,PALO,0.212129517,0.200686504,0.254703089,0.210804955,0.692803763,0.999999,0.890755412,0.311004474,0.0999999,0.070967671,0.411764294,0.291666375
GRU,mape,4,DUNDEE,0.212129517,0.200686504,0.604702779,0.217815258,0.692803763,0.741934742,0.894957088,0.311004474,0.081249919,0.070967671,0.411764294,0.291666375
GRU,mape,4,BOULDER,0.212129517,0.200686504,0.680136504,0.210804955,0.692803763,0.999999,0.907562118,0.311004474,0.0999999,0.070967671,0.411764294,0.291666375
GRU,mape,4,Auchterarder,0.211512234,0.200686504,0.677396781,0.210289491,0.692803763,0.451612452,0.978990618,0.311004474,0.0999999,0.070967671,0.411764294,0.291666375
GRU,mape,4,Kinross,0.212129517,0.200686504,0.674657057,0.210736226,0.692803763,0.999999,0.867646191,0.311004474,0.0999999,0.070967671,0.411764294,0.291666375
GRU,mape,4,Pitlochry,0.211512234,0.200686504,0.630730152,0.210289491,0.692803763,0.999999,0.899158765,0.311004474,0.0999999,0.070967671,0.411764294,0.291666375
GRU,mape,4,Crieff,0.211512234,0.200686504,0.674657057,0.210598769,0.692803763,0.999999,0.899158765,0.311004474,0.0999999,0.070967671,0.411764294,0.291666375
GRU,mape,4,Aberfeldy,0.211512234,0.200686504,0.674657057,0.210804955,0.692803763,0.999999,0.899158765,0.311004474,0.0999999,0.070967671,0.411764294,0.291666375
GRU,mape,4,Dunkeld,0.211512234,0.200686504,0.677396781,0.210289491,0.692803763,0.999999,0.899158765,0.311004474,0.0999999,0.070967671,0.411764294,0.291666375
GRU,mape,4,Blairgowrie,0.211512234,0.200686504,0.682876229,0.210530041,0.692803763,0.999999,0.899158765,0.311004474,0.0999999,0.070967671,0.411764294,0.291666375
GRU,mape,4,wo_trans,0.169567817,0.196941187,0.709131913,0.210804955,0.692803763,0.612902613,0.920167147,0.311004474,0.037499963,0.070967671,0.999999,0.291666375
GRU,mae,5,Perth,0.403935185,0.470833333,0.629960317,0.39448173,0.182748538,0.215277778,0.448784722,0.150462963,0.055555556,0.038194444,0.194444444,0.194444444
GRU,mae,5,HK,0.407407407,0.455555556,0.700396825,0.394730301,0.182748538,0.201388889,0.441840278,0.150462963,0.059027778,0.038194444,0.194444444,0.194444444
GRU,mae,5,PALO,0.422453704,0.470833333,0.869047619,0.394730301,0.182748538,0.215277778,0.447916667,0.150462963,0.055555556,0.038194444,0.194444444,0.194444444
GRU,mae,5,DUNDEE,0.422453704,0.470833333,0.692460317,0.397464579,0.182748538,0.194444444,0.449652778,0.150462963,0.048611111,0.038194444,0.194444444,0.194444444
GRU,mae,5,BOULDER,0.422453704,0.470833333,0.610119048,0.396470296,0.182748538,0.215277778,0.4375,0.150462963,0.055555556,0.038194444,0.194444444,0.194444444
GRU,mae,5,Auchterarder,0.421296296,0.470833333,0.615079365,0.39448173,0.182748538,0.194444444,0.427951389,0.150462963,0.059027778,0.038194444,0.194444444,0.194444444
GRU,mae,5,Kinross,0.422453704,0.470833333,0.621031746,0.396221725,0.182748538,0.215277778,0.457465278,0.150462963,0.059027778,0.038194444,0.194444444,0.194444444
GRU,mae,5,Pitlochry,0.421296296,0.470833333,0.625992063,0.39448173,0.182748538,0.215277778,0.448784722,0.185185185,0.055555556,0.038194444,0.194444444,0.194444444
GRU,mae,5,Crieff,0.421296296,0.470833333,0.625992063,0.395724584,0.182748538,0.215277778,0.448784722,0.150462963,0.059027778,0.038194444,0.194444444,0.194444444
