model,metric,trainlen,source \ target,Perth,HK,PALO,DUNDEE,BOULDER,Auchterarder,Kinross,Pitlochry,Crieff,Aberfeldy,Dunkeld,Blairgowrie
GRU,mae,5,Aberfeldy,0.421296296,0.470833333,0.624007937,0.396470296,0.182748538,0.215277778,0.447916667,0.150462963,0.055555556,0.038194444,0.194444444,0.194444444
GRU,mae,5,Dunkeld,0.421296296,0.470833333,0.618055556,0.39448173,0.182748538,0.215277778,0.448784722,0.150462963,0.055555556,0.038194444,0.194444444,0.194444444
GRU,mae,5,Blairgowrie,0.421296296,0.470833333,0.611111111,0.395476013,0.182748538,0.215277778,0.448784722,0.150462963,0.055555556,0.038194444,0.194444444,0.194444444
GRU,mae,5,wo_trans,0.398148148,0.458333333,0.694444444,0.396470296,0.183479532,0.194444444,0.439236111,0.157407407,0.038194444,0.038194444,0.236111111,0.1875
GRU,mape,5,Perth,0.210678897,0.200686504,0.671917334,0.210289491,0.692803763,0.999999,0.899158765,0.311004474,0.0999999,0.070967671,0.411764294,0.291666375
GRU,mape,5,HK,0.208734457,0.20802107,0.583469924,0.210392584,0.692803763,0.903224903,0.905461279,0.311004474,0.0999999,0.070967671,0.411764294,0.291666375
GRU,mape,5,PALO,0.212129517,0.200686504,0.254703089,0.210804955,0.692803763,0.999999,0.890755412,0.311004474,0.0999999,0.070967671,0.411764294,0.291666375
GRU,mape,5,DUNDEE,0.212129517,0.200686504,0.604702779,0.217815258,0.692803763,0.741934742,0.894957088,0.311004474,0.081249919,0.070967671,0.411764294,0.291666375
GRU,mape,5,BOULDER,0.212129517,0.200686504,0.680136504,0.210804955,0.692803763,0.999999,0.907562118,0.311004474,0.0999999,0.070967671,0.411764294,0.291666375
GRU,mape,5,Auchterarder,0.211512234,0.200686504,0.677396781,0.210289491,0.692803763,0.451612452,0.978990618,0.311004474,0.0999999,0.070967671,0.411764294,0.291666375
GRU,mape,5,Kinross,0.212129517,0.200686504,0.674657057,0.210736226,0.692803763,0.999999,0.867646191,0.311004474,0.0999999,0.070967671,0.411764294,0.291666375
GRU,mape,5,Pitlochry,0.211512234,0.200686504,0.630730152,0.210289491,0.692803763,0.999999,0.899158765,0.311004474,0.0999999,0.070967671,0.411764294,0.291666375
GRU,mape,5,Crieff,0.211512234,0.200686504,0.674657057,0.210598769,0.692803763,0.999999,0.899158765,0.311004474,0.0999999,0.070967671,0.411764294,0.291666375
GRU,mape,5,Aberfeldy,0.211512234,0.200686504,0.674657057,0.210804955,0.692803763,0.999999,0.899158765,0.311004474,0.0999999,0.070967671,0.411764294,0.291666375
GRU,mape,5,Dunkeld,0.211512234,0.200686504,0.677396781,0.210289491,0.692803763,0.999999,0.899158765,0.311004474,0.0999999,0.070967671,0.411764294,0.291666375
GRU,mape,5,Blairgowrie,0.211512234,0.200686504,0.682876229,0.210530041,0.692803763,0.999999,0.899158765,0.311004474,0.0999999,0.070967671,0.411764294,0.291666375
GRU,mape,5,wo_trans,0.179598672,0.213326932,0.58986261,0.210736226,0.692803763,0.483870484,0.901259603,0.311004474,0.037499963,0.070967671,0.999999,0.291666375
GRU,mae,6,Perth,0.403935185,0.470833333,0.629960317,0.39448173,0.182748538,0.215277778,0.448784722,0.150462963,0.055555556,0.038194444,0.194444444,0.194444444
GRU,mae,6,HK,0.407407407,0.455555556,0.700396825,0.394730301,0.182748538,0.201388889,0.441840278,0.150462963,0.059027778,0.038194444,0.194444444,0.194444444
GRU,mae,6,PALO,0.422453704,0.470833333,0.869047619,0.394730301,0.182748538,0.215277778,0.447916667,0.150462963,0.055555556,0.038194444,0.194444444,0.194444444
GRU,mae,6,DUNDEE,0.422453704,0.470833333,0.692460317,0.397464579,0.182748538,0.194444444,0.449652778,0.150462963,0.048611111,0.038194444,0.194444444,0.194444444
GRU,mae,6,BOULDER,0.422453704,0.470833333,0.610119048,0.396470296,0.182748538,0.215277778,0.4375,0.150462963,0.055555556,0.038194444,0.194444444,0.194444444
GRU,mae,6,Auchterarder,0.421296296,0.470833333,0.615079365,0.39448173,0.182748538,0.194444444,0.427951389,0.150462963,0.059027778,0.038194444,0.194444444,0.194444444
GRU,mae,6,Kinross,0.422453704,0.470833333,0.621031746,0.396221725,0.182748538,0.215277778,0.457465278,0.150462963,0.059027778,0.038194444,0.194444444,0.194444444
GRU,mae,6,Pitlochry,0.421296296,0.470833333,0.625992063,0.39448173,0.182748538,0.215277778,0.448784722,0.185185185,0.055555556,0.038194444,0.194444444,0.194444444
GRU,mae,6,Crieff,0.421296296,0.470833333,0.625992063,0.395724584,0.182748538,0.215277778,0.448784722,0.150462963,0.059027778,0.038194444,0.194444444,0.194444444
GRU,mae,6,Aberfeldy,0.421296296,0.470833333,0.624007937,0.396470296,0.182748538,0.215277778,0.447916667,0.150462963,0.055555556,0.038194444,0.194444444,0.194444444
GRU,mae,6,Dunkeld,0.421296296,0.470833333,0.618055556,0.39448173,0.182748538,0.215277778,0.448784722,0.150462963,0.055555556,0.038194444,0.194444444,0.194444444
GRU,mae,6,Blairgowrie,0.421296296,0.470833333,0.611111111,0.395476013,0.182748538,0.215277778,0.448784722,0.150462963,0.055555556,0.038194444,0.194444444,0.194444444
GRU,mae,6,wo_trans,0.386574074,0.461805556,0.729166667,0.396470296,0.183479532,0.194444444,0.440104167,0.150462963,0.055555556,0.038194444,0.236111111,0.194444444
GRU,mape,6,Perth,0.210678897,0.200686504,0.671917334,0.210289491,0.692803763,0.999999,0.899158765,0.311004474,0.0999999,0.070967671,0.411764294,0.291666375
GRU,mape,6,HK,0.208734457,0.20802107,0.583469924,0.210392584,0.692803763,0.903224903,0.905461279,0.311004474,0.0999999,0.070967671,0.411764294,0.291666375
GRU,mape,6,PALO,0.212129517,0.200686504,0.254703089,0.210804955,0.692803763,0.999999,0.890755412,0.311004474,0.0999999,0.070967671,0.411764294,0.291666375
GRU,mape,6,DUNDEE,0.212129517,0.200686504,0.604702779,0.217815258,0.692803763,0.741934742,0.894957088,0.311004474,0.081249919,0.070967671,0.411764294,0.291666375
GRU,mape,6,BOULDER,0.212129517,0.200686504,0.680136504,0.210804955,0.692803763,0.999999,0.907562118,0.311004474,0.0999999,0.070967671,0.411764294,0.291666375
GRU,mape,6,Auchterarder,0.211512234,0.200686504,0.677396781,0.210289491,0.692803763,0.451612452,0.978990618,0.311004474,0.0999999,0.070967671,0.411764294,0.291666375
GRU,mape,6,Kinross,0.212129517,0.200686504,0.674657057,0.210736226,0.692803763,0.999999,0.867646191,0.311004474,0.0999999,0.070967671,0.411764294,0.291666375
GRU,mape,6,Pitlochry,0.211512234,0.200686504,0.630730152,0.210289491,0.692803763,0.999999,0.899158765,0.311004474,0.0999999,0.070967671,0.411764294,0.291666375
GRU,mape,6,Crieff,0.211512234,0.200686504,0.674657057,0.210598769,0.692803763,0.999999,0.899158765,0.311004474,0.0999999,0.070967671,0.411764294,0.291666375
GRU,mape,6,Aberfeldy,0.211512234,0.200686504,0.674657057,0.210804955,0.692803763,0.999999,0.899158765,0.311004474,0.0999999,0.070967671,0.411764294,0.291666375
GRU,mape,6,Dunkeld,0.211512234,0.200686504,0.677396781,0.210289491,0.692803763,0.999999,0.899158765,0.311004474,0.0999999,0.070967671,0.411764294,0.291666375
GRU,mape,6,Blairgowrie,0.211512234,0.200686504,0.682876229,0.210530041,0.692803763,0.999999,0.899158765,0.311004474,0.0999999,0.070967671,0.411764294,0.291666375
GRU,mape,6,wo_trans,0.203981367,0.219881233,0.320456454,0.210804955,0.692803763,0.451612452,0.913864632,0.311004474,0.0999999,0.070967671,0.999999,0.291666375
GRU,mae,7,Perth,0.403935185,0.470833333,0.629960317,0.39448173,0.182748538,0.215277778,0.448784722,0.150462963,0.055555556,0.038194444,0.194444444,0.194444444
GRU,mae,7,HK,0.407407407,0.455555556,0.700396825,0.394730301,0.182748538,0.201388889,0.441840278,0.150462963,0.059027778,0.038194444,0.194444444,0.194444444
GRU,mae,7,PALO,0.422453704,0.470833333,0.869047619,0.394730301,0.182748538,0.215277778,0.447916667,0.150462963,0.055555556,0.038194444,0.194444444,0.194444444
GRU,mae,7,DUNDEE,0.422453704,0.470833333,0.692460317,0.397464579,0.182748538,0.194444444,0.449652778,0.150462963,0.048611111,0.038194444,0.194444444,0.194444444
GRU,mae,7,BOULDER,0.422453704,0.470833333,0.610119048,0.396470296,0.182748538,0.215277778,0.4375,0.150462963,0.055555556,0.038194444,0.194444444,0.194444444
GRU,mae,7,Auchterarder,0.421296296,0.470833333,0.615079365,0.39448173,0.182748538,0.194444444,0.427951389,0.150462963,0.059027778,0.038194444,0.194444444,0.194444444
GRU,mae,7,Kinross,0.422453704,0.470833333,0.621031746,0.396221725,0.182748538,0.215277778,0.457465278,0.150462963,0.059027778,0.038194444,0.194444444,0.194444444
GRU,mae,7,Pitlochry,0.421296296,0.470833333,0.625992063,0.39448173,0.182748538,0.215277778,0.448784722,0.185185185,0.055555556,0.038194444,0.194444444,0.194444444
GRU,mae,7,Crieff,0.421296296,0.470833333,0.625992063,0.395724584,0.182748538,0.215277778,0.448784722,0.150462963,0.059027778,0.038194444,0.194444444,0.194444444
GRU,mae,7,Aberfeldy,0.421296296,0.470833333,0.624007937,0.396470296,0.182748538,0.215277778,0.447916667,0.150462963,0.055555556,0.038194444,0.194444444,0.194444444
GRU,mae,7,Dunkeld,0.421296296,0.470833333,0.618055556,0.39448173,0.182748538,0.215277778,0.448784722,0.150462963,0.055555556,0.038194444,0.194444444,0.194444444
GRU,mae,7,Blairgowrie,0.421296296,0.470833333,0.611111111,0.395476013,0.182748538,0.215277778,0.448784722,0.150462963,0.055555556,0.038194444,0.194444444,0.194444444
GRU,mae,7,wo_trans,0.383101852,0.45625,0.743055556,0.396470296,0.182748538,0.194444444,0.438368056,0.18287037,0.055555556,0.024305556,0.236111111,0.194444444
GRU,mape,7,Perth,0.210678897,0.200686504,0.671917334,0.210289491,0.692803763,0.999999,0.899158765,0.311004474,0.0999999,0.070967671,0.411764294,0.291666375
GRU,mape,7,HK,0.208734457,0.20802107,0.583469924,0.210392584,0.692803763,0.903224903,0.905461279,0.311004474,0.0999999,0.070967671,0.411764294,0.291666375
GRU,mape,7,PALO,0.212129517,0.200686504,0.254703089,0.210804955,0.692803763,0.999999,0.890755412,0.311004474,0.0999999,0.070967671,0.411764294,0.291666375
GRU,mape,7,DUNDEE,0.212129517,0.200686504,0.604702779,0.217815258,0.692803763,0.741934742,0.894957088,0.311004474,0.081249919,0.070967671,0.411764294,0.291666375
GRU,mape,7,BOULDER,0.212129517,0.200686504,0.680136504,0.210804955,0.692803763,0.999999,0.907562118,0.311004474,0.0999999,0.070967671,0.411764294,0.291666375
GRU,mape,7,Auchterarder,0.211512234,0.200686504,0.677396781,0.210289491,0.692803763,0.451612452,0.978990618,0.311004474,0.0999999,0.070967671,0.411764294,0.291666375
GRU,mape,7,Kinross,0.212129517,0.200686504,0.674657057,0.210736226,0.692803763,0.999999,0.867646191,0.311004474,0.0999999,0.070967671,0.411764294,0.291666375
GRU,mape,7,Pitlochry,0.211512234,0.200686504,0.630730152,0.210289491,0.692803763,0.999999,0.899158765,0.311004474,0.0999999,0.070967671,0.411764294,0.291666375
GRU,mape,7,Crieff,0.211512234,0.200686504,0.674657057,0.210598769,0.692803763,0.999999,0.899158765,0.311004474,0.0999999,0.070967671,0.411764294,0.291666375
GRU,mape,7,Aberfeldy,0.211512234,0.200686504,0.674657057,0.210804955,0.692803763,0.999999,0.899158765,0.311004474,0.0999999,0.070967671,0.411764294,0.291666375
GRU,mape,7,Dunkeld,0.211512234,0.200686504,0.677396781,0.210289491,0.692803763,0.999999,0.899158765,0.311004474,0.0999999,0.070967671,0.411764294,0.291666375
GRU,mape,7,Blairgowrie,0.211512234,0.200686504,0.682876229,0.210530041,0.692803763,0.999999,0.899158765,0.311004474,0.0999999,0.070967671,0.411764294,0.291666375
GRU,mape,7,wo_trans,0.198734457,0.227761993,0.464520253,0.210736226,0.692803763,0.451612452,0.903360441,0.311004474,0.0999999,0.032258032,0.999999,0.291666375
GRU,mae,8,Perth,0.403935185,0.470833333,0.629960317,0.39448173,0.182748538,0.215277778,0.448784722,0.150462963,0.055555556,0.038194444,0.194444444,0.194444444
GRU,mae,8,HK,0.407407407,0.455555556,0.700396825,0.394730301,0.182748538,0.201388889,0.441840278,0.150462963,0.059027778,0.038194444,0.194444444,0.194444444
GRU,mae,8,PALO,0.422453704,0.470833333,0.869047619,0.394730301,0.182748538,0.215277778,0.447916667,0.150462963,0.055555556,0.038194444,0.194444444,0.194444444
GRU,mae,8,DUNDEE,0.422453704,0.470833333,0.692460317,0.397464579,0.182748538,0.194444444,0.449652778,0.150462963,0.048611111,0.038194444,0.194444444,0.194444444
GRU,mae,8,BOULDER,0.422453704,0.470833333,0.610119048,0.396470296,0.182748538,0.215277778,0.4375,0.150462963,0.055555556,0.038194444,0.194444444,0.194444444
GRU,mae,8,Auchterarder,0.421296296,0.470833333,0.615079365,0.39448173,0.182748538,0.194444444,0.427951389,0.150462963,0.059027778,0.038194444,0.194444444,0.194444444
GRU,mae,8,Kinross,0.422453704,0.470833333,0.621031746,0.396221725,0.182748538,0.215277778,0.457465278,0.150462963,0.059027778,0.038194444,0.194444444,0.194444444
GRU,mae,8,Pitlochry,0.421296296,0.470833333,0.625992063,0.39448173,0.182748538,0.215277778,0.448784722,0.185185185,0.055555556,0.038194444,0.194444444,0.194444444
GRU,mae,8,Crieff,0.421296296,0.470833333,0.625992063,0.395724584,0.182748538,0.215277778,0.448784722,0.150462963,0.059027778,0.038194444,0.194444444,0.194444444
GRU,mae,8,Aberfeldy,0.421296296,0.470833333,0.624007937,0.396470296,0.182748538,0.215277778,0.447916667,0.150462963,0.055555556,0.038194444,0.194444444,0.194444444
GRU,mae,8,Dunkeld,0.421296296,0.470833333,0.618055556,0.39448173,0.182748538,0.215277778,0.448784722,0.150462963,0.055555556,0.038194444,0.194444444,0.194444444
GRU,mae,8,Blairgowrie,0.421296296,0.470833333,0.611111111,0.395476013,0.182748538,0.215277778,0.448784722,0.150462963,0.055555556,0.038194444,0.194444444,0.194444444
GRU,mae,8,wo_trans,0.376157407,0.464583333,0.75297619,0.370618941,0.182748538,0.194444444,0.417534722,0.155092593,0.055555556,0.041666667,0.222222222,0.194444444
GRU,mape,8,Perth,0.210678897,0.200686504,0.671917334,0.210289491,0.692803763,0.999999,0.899158765,0.311004474,0.0999999,0.070967671,0.411764294,0.291666375
GRU,mape,8,HK,0.208734457,0.20802107,0.583469924,0.210392584,0.692803763,0.903224903,0.905461279,0.311004474,0.0999999,0.070967671,0.411764294,0.291666375
GRU,mape,8,PALO,0.212129517,0.200686504,0.254703089,0.210804955,0.692803763,0.999999,0.890755412,0.311004474,0.0999999,0.070967671,0.411764294,0.291666375
GRU,mape,8,DUNDEE,0.212129517,0.200686504,0.604702779,0.217815258,0.692803763,0.741934742,0.894957088,0.311004474,0.081249919,0.070967671,0.411764294,0.291666375
GRU,mape,8,BOULDER,0.212129517,0.200686504,0.680136504,0.210804955,0.692803763,0.999999,0.907562118,0.311004474,0.0999999,0.070967671,0.411764294,0.291666375
GRU,mape,8,Auchterarder,0.211512234,0.200686504,0.677396781,0.210289491,0.692803763,0.451612452,0.978990618,0.311004474,0.0999999,0.070967671,0.411764294,0.291666375
